timestamp,ticker,action,quantity,exchange,price,commission
2015-05-29 00:00:00,ADI,BOT,100,ARCA,67.96,1.0
2015-07-31 00:00:00,ADI,SLD,100,ARCA,58.33,1.0
2015-08-20 00:00:00,ADI,BOT,100,ARCA,53.82,1.0
2015-11-09 00:00:00,ADI,SLD,100,ARCA,60.96,1.0
2016-01-21 00:00:00,ADI,BOT,100,ARCA,50.53,1.0
2016-02-08 00:00:00,ADI,SLD,100,ARCA,49.16,1.0
2016-02-16 00:00:00,ADI,BOT,100,ARCA,52.07,1.0
2016-02-18 00:00:00,ADI,SLD,100,ARCA,52.04,1.0
2016-03-09 00:00:00,ADI,BOT,100,ARCA,54.93,1.0
2016-03-29 00:00:00,ADI,SLD,100,ARCA,58.8,1.0
2016-06-30 00:00:00,ADI,BOT,100,ARCA,56.64,1.0
2016-10-06 00:00:00,ADI,SLD,100,ARCA,64.74,1.0
2016-11-14 00:00:00,ADI,BOT,100,ARCA,66.46,1.0
2017-02-06 00:00:00,ADI,SLD,100,ARCA,75.53,1.0
2017-03-14 00:00:00,ADI,BOT,100,ARCA,83.68,1.0
2017-08-10 00:00:00,ADI,SLD,100,ARCA,76.83,1.0
2017-12-07 00:00:00,ADI,BOT,100,ARCA,86.11,1.0
2018-04-10 00:00:00,ADI,SLD,100,ARCA,90.03,1.0
2018-09-14 00:00:00,ADI,BOT,100,ARCA,92.53,1.0
2019-01-02 00:00:00,ADI,SLD,100,ARCA,85.92,1.0
2019-01-03 00:00:00,ADI,BOT,100,ARCA,80.73,1.0
2019-01-07 00:00:00,ADI,SLD,100,ARCA,83.21,1.0
2019-06-04 00:00:00,ADI,BOT,100,ARCA,100.97,1.0
2019-06-05 00:00:00,ADI,SLD,100,ARCA,99.87,1.0
2019-06-19 00:00:00,ADI,BOT,100,ARCA,111.04,1.0
2019-07-24 00:00:00,ADI,SLD,100,ARCA,124.64,1.0
2019-07-25 00:00:00,ADI,BOT,100,ARCA,122.18,1.0
2019-07-29 00:00:00,ADI,SLD,100,ARCA,121.21,1.0
2019-11-26 00:00:00,ADI,BOT,100,ARCA,114.89,1.0
