timestamp,ticker,action,quantity,exchange,price,commission
2011-07-21 00:00:00,PEP,BOT,100,ARCA,66.17,1.0
2011-11-07 00:00:00,PEP,SLD,100,ARCA,62.5,1.0
2012-03-06 00:00:00,PEP,BOT,100,ARCA,62.28,1.0
2012-05-04 00:00:00,PEP,SLD,100,ARCA,65.9,1.0
2012-07-12 00:00:00,PEP,BOT,100,ARCA,69.85,1.0
2012-07-13 00:00:00,PEP,SLD,100,ARCA,70.41,1.0
2012-07-17 00:00:00,PEP,BOT,100,ARCA,70.33,1.0
2012-07-31 00:00:00,PEP,SLD,100,ARCA,72.73,1.0
2012-08-03 00:00:00,PEP,BOT,100,ARCA,72.87,1.0
2012-08-06 00:00:00,PEP,SLD,100,ARCA,72.48,1.0
2012-11-23 00:00:00,PEP,BOT,100,ARCA,70.19,1.0
2012-11-26 00:00:00,PEP,SLD,100,ARCA,70.0,1.0
2012-12-21 00:00:00,PEP,BOT,100,ARCA,69.63,1.0
2013-01-02 00:00:00,PEP,SLD,100,ARCA,69.33,1.0
2013-02-08 00:00:00,PEP,BOT,100,ARCA,72.6,1.0
2013-05-01 00:00:00,PEP,SLD,100,ARCA,82.21,1.0
2013-07-25 00:00:00,PEP,BOT,100,ARCA,85.55,1.0
2013-08-13 00:00:00,PEP,SLD,100,ARCA,83.39,1.0
2013-08-14 00:00:00,PEP,BOT,100,ARCA,82.75,1.0
2013-08-19 00:00:00,PEP,SLD,100,ARCA,80.88,1.0
2013-12-11 00:00:00,PEP,BOT,100,ARCA,82.67,1.0
2013-12-30 00:00:00,PEP,SLD,100,ARCA,82.91,1.0
2014-01-31 00:00:00,PEP,BOT,100,ARCA,80.36,1.0
2014-05-08 00:00:00,PEP,SLD,100,ARCA,86.66,1.0
2014-09-03 00:00:00,PEP,BOT,100,ARCA,92.75,1.0
2014-12-26 00:00:00,PEP,SLD,100,ARCA,97.05,1.0
2015-02-02 00:00:00,PEP,BOT,100,ARCA,95.33,1.0
2015-04-17 00:00:00,PEP,SLD,100,ARCA,95.81,1.0
2015-04-20 00:00:00,PEP,BOT,100,ARCA,96.5,1.0
2015-04-21 00:00:00,PEP,SLD,100,ARCA,96.78,1.0
2015-04-22 00:00:00,PEP,BOT,100,ARCA,97.28,1.0
2015-04-23 00:00:00,PEP,SLD,100,ARCA,95.73,1.0
2015-08-04 00:00:00,PEP,BOT,100,ARCA,97.81,1.0
2015-11-06 00:00:00,PEP,SLD,100,ARCA,99.72,1.0
2016-01-29 00:00:00,PEP,BOT,100,ARCA,99.3,1.0
2016-04-22 00:00:00,PEP,SLD,100,ARCA,101.98,1.0
2016-07-20 00:00:00,PEP,BOT,100,ARCA,108.92,1.0
2016-07-26 00:00:00,PEP,SLD,100,ARCA,108.2,1.0
2016-11-02 00:00:00,PEP,BOT,100,ARCA,106.71,1.0
2017-01-26 00:00:00,PEP,SLD,100,ARCA,104.14,1.0
2017-10-02 00:00:00,PEP,BOT,100,ARCA,109.12,1.0
2017-12-13 00:00:00,PEP,SLD,100,ARCA,117.8,1.0
2018-02-06 00:00:00,PEP,BOT,100,ARCA,113.56,1.0
2018-08-31 00:00:00,PEP,SLD,100,ARCA,112.01,1.0
2018-12-07 00:00:00,PEP,BOT,100,ARCA,115.82,1.0
2019-03-07 00:00:00,PEP,SLD,100,ARCA,116.1,1.0
2019-03-11 00:00:00,PEP,BOT,100,ARCA,116.59,1.0
2019-03-12 00:00:00,PEP,SLD,100,ARCA,116.57,1.0
2019-03-14 00:00:00,PEP,BOT,100,ARCA,115.5,1.0
2019-04-05 00:00:00,PEP,SLD,100,ARCA,121.62,1.0
2019-08-06 00:00:00,PEP,BOT,100,ARCA,126.45,1.0
2019-09-18 00:00:00,PEP,SLD,100,ARCA,135.5,1.0
