timestamp,ticker,action,quantity,exchange,price,commission
2015-08-10 00:00:00,AAPL,BOT,100,ARCA,119.72,1.0
2015-11-04 00:00:00,AAPL,SLD,100,ARCA,122.0,1.0
2016-02-01 00:00:00,AAPL,BOT,100,ARCA,96.43,1.0
2016-03-29 00:00:00,AAPL,SLD,100,ARCA,107.68,1.0
2016-06-16 00:00:00,AAPL,BOT,100,ARCA,97.55,1.0
2016-07-13 00:00:00,AAPL,SLD,100,ARCA,96.87,1.0
2016-09-22 00:00:00,AAPL,BOT,100,ARCA,114.62,1.0
2016-10-06 00:00:00,AAPL,SLD,100,ARCA,113.89,1.0
2016-10-11 00:00:00,AAPL,BOT,100,ARCA,116.3,1.0
2016-11-25 00:00:00,AAPL,SLD,100,ARCA,111.79,1.0
2017-06-15 00:00:00,AAPL,BOT,100,ARCA,144.29,1.0
2017-08-22 00:00:00,AAPL,SLD,100,ARCA,159.78,1.0
2017-09-22 00:00:00,AAPL,BOT,100,ARCA,151.89,1.0
2017-10-20 00:00:00,AAPL,SLD,100,ARCA,156.25,1.0
2017-10-31 00:00:00,AAPL,BOT,100,ARCA,169.04,1.0
2017-11-27 00:00:00,AAPL,SLD,100,ARCA,174.09,1.0
2017-12-26 00:00:00,AAPL,BOT,100,ARCA,170.57,1.0
2018-01-11 00:00:00,AAPL,SLD,100,ARCA,175.28,1.0
2018-02-02 00:00:00,AAPL,BOT,100,ARCA,160.5,1.0
2018-04-24 00:00:00,AAPL,SLD,100,ARCA,162.94,1.0
2018-09-13 00:00:00,AAPL,BOT,100,ARCA,226.41,1.0
2019-02-20 00:00:00,AAPL,SLD,100,ARCA,172.03,1.0
2019-05-29 00:00:00,AAPL,BOT,100,ARCA,177.38,1.0
2019-06-06 00:00:00,AAPL,SLD,100,ARCA,185.22,1.0
2019-06-18 00:00:00,AAPL,BOT,100,ARCA,198.45,1.0
2019-06-20 00:00:00,AAPL,SLD,100,ARCA,199.46,1.0
2019-06-21 00:00:00,AAPL,BOT,100,ARCA,198.78,1.0
2019-07-12 00:00:00,AAPL,SLD,100,ARCA,203.3,1.0
2019-09-23 00:00:00,AAPL,BOT,100,ARCA,218.72,1.0
2019-11-05 00:00:00,AAPL,SLD,100,ARCA,257.13,1.0
2019-11-12 00:00:00,AAPL,BOT,100,ARCA,261.96,1.0
2019-11-20 00:00:00,AAPL,SLD,100,ARCA,263.19,1.0
